Name,Price,No IVA,PVP,Discount,Rating
MSI H310M PRO-VD Plus,51.99,42.97,51.99,0,93.3
Asus ROG STRIX B450-F GAMING,132.9,109.83,132.9,0,90.7
MSI A320M-A PRO,46.98,38.83,46.98,0,91.4
Gigabyte Z390 Gaming X,144.9,119.75,144.9,0,91.8
Gigabyte GA-A320M-S2H,50.99,42.14,50.99,0,83.5
MSI B450M PRO-M2 MAX,65.99,54.54,65.99,0,90.4
Asus TUF Gaming X570-Plus,199.9,165.21,219.91,10,89.7
Gigabyte Z390 Aorus Pro,191.91,158.6,191.91,0,95.5
Asus TUF B450M-PLUS GAMING,94.99,78.5,103.9,9,91.1
Asus Prime X570-P,188.91,156.12,188.91,0,92.2
Gigabyte H310M S2H 2.0,58.99,48.75,58.99,0,89.5
Asus H110M-A/DP,59.99,49.58,59.99,0,100.0
Asus Prime Z390-A,169.9,140.41,185.89,9,92.3
MSI Mpg Z390 Gaming Edge AC,174.9,144.55,174.9,0,95.0
MSI B450 Gaming Pro Carbon AC,144.9,119.75,144.9,0,93.2
Asus Rog Strix Z390-E Gaming,244.9,202.4,244.9,0,94.3
MSI Mpg Z390 Gaming Pro Carbon,204.9,169.34,204.9,0,93.3
Asus Prime H310M-E R2.0,63.9,52.81,63.9,0,86.9
MSI MPG X570 Gaming Pro Carbon WIFI,269.9,223.06,269.9,0,94.5
MSI B450-A Pro Max,126.98,104.94,126.98,0,93.6
Gigabyte B365M-D3H,83.99,69.41,83.99,0,89.0
MSI MPG X570 Gaming Edge WI-Fi,229.9,190.0,229.9,0,94.8
Asrock B450M Steel Legend,94.99,78.5,94.99,0,93.3
MSI A320M-A PRO M2,48.99,40.49,48.99,0,92.4
Intel Core i3-8100 3.6GHz BOX,110.9,91.65,110.9,0,93.9
AMD Athlon 3000G 3.5GHz,52.99,43.79,52.99,0,93.8
Intel Pentium Gold G5420 3.8 GHz,56.99,47.1,71.98,21,40.0
AMD Ryzen 9 3950X 4.70 GHz,809.9,669.34,809.9,0,99.4
AMD Ryzen 3 1200 AF Stepping 3.1Ghz,54.99,45.45,54.99,0,0.0
AMD Athlon 200GE 3.2GHz Socket AM4,44.99,37.18,44.99,0,92.2
Procesador Intel Celeron G4920 3.2Ghz BOX,35.99,29.74,41.99,15,91.1
AMD Ryzen 5 1400 3.2GHZ BOX,92.99,76.85,92.99,0,95.2
Procesador Intel Pentium Gold G5400 3.7GHz Box,49.99,41.31,56.99,13,93.9
Intel Core i3-9100 3.6 GHz,128.9,106.53,128.9,0,83.3
AMD Ryzen Threadripper 1920X 3.5GHz,224.9,185.87,224.9,0,98.1
Intel Core i9-10900X 3.70 GHz,669.9,553.64,669.9,0,75.0
Intel Core i9-9900KF 3.6 GHz ,489.9,404.88,489.9,0,97.9
AMD A Series A8-7680 3.5 GHz,51.99,42.97,51.99,0,92.9
Intel Core i7-8700K 3.7Ghz BOX,733.46,606.17,733.46,0,96.2
Intel Core i7-8700 3.2Ghz BOX,369.9,305.7,369.9,0,94.7
AMD A6-9500 3.50 GHz Socket AM4,41.99,34.7,41.99,0,78.8
Intel Celeron G4930 3.2 GHz,39,32.23,39,0,100.0
Intel Core i9-9900 3.1 GHz,469.9,388.35,469.9,0,60.0
Intel Core i9-10940X 3.3 GHz,879.9,727.19,879.9,0,80.0
AMD Athlon X4 950 3.5Ghz,49.99,41.31,49.99,0,88.3
AMD RYZEN 7 1800X 4.0GHz,503.04,415.74,503.04,0,96.6
AMD A Series A6-7480 3.5 GHz,34.99,28.92,34.99,0,89.1
AMD A10-9700 3.5GHz Socket AM4,80.98,66.93,80.98,0,84.8
Samsung 860 QVO SSD 1TB SATA 3 V-NAND MLC,128.59,106.28,128.59,0,95.7
"Seagate Expansion 2TB 2.5"" USB 3.0 Negro",70,57.85,87.5,20,90.7
Samsung 860 EVO Basic SSD 250GB SATA3,64.99,53.71,64.99,0,94.7
WD Blue 3D Nand SSD M.2 1TB SATA3,119.98,99.16,119.98,0,93.5
SanDisk SSD Plus 240GB SATA III,41.99,34.71,41.99,0,93.3
WD Blue SN550 SSD 500GB NVMe M.2 PCIe Gen 3,89,73.55,89,0,95.0
Seagate IronWolf NAS 4TB SATA3,122.9,101.57,122.9,0,92.2
"Seagate Expansion 5TB 2.5"" USB 3.0 Negro",120,99.17,149,20,87.8
"Seagate BarraCuda 2.5"" 1TB SATA3",53.59,44.29,53.59,0,93.1
"Maxtor M3 Portable 1TB USB 3.0 2.5""",44.6,36.86,44.6,0,92.3
Sandisk Ultra 3D SSD 500GB SATA3,79.99,66.11,79.99,0,96.8
PNY XLR8 CS3030 1TB M.2 3D TLC NVMe PCI-Express,157.9,130.5,157.9,0,100.0
Kingston A2000 M.2 250GB PCI Express 3.0 NVMe,60.34,49.87,60.34,0,93.8
"WD Elements 2TB 2.5"" USB 3.0 Negro",74,61.16,74,0,93.0
"Maxtor M3 Portable 2TB USB 3.0 2.5""",64,52.9,64,0,93.2
Crucial MX500 SSD 1000GB SATA,132.99,109.91,132.99,0,95.1
"WD Blue 3TB 3.5"" SATA 3",85.99,71.07,85.99,0,92.3
Kingston A2000 M.2 500GB PCI Express 3.0 NVMe,95.99,79.33,95.99,0,94.5
Maxtor Z1 SSD 960GB SATA3,123.09,101.73,123.09,0,97.3
"WD Blue 2TB 3.5"" SATA 3",67.99,56.19,67.99,0,91.6
WD Green 3D SSD M.2 120GB SATA3,31.81,26.29,31.81,0,92.5
SSD Crucial MX500 M.2 2280 500GB,98.26,81.21,98.26,0,93.6
Crucial MX500 SSD 500GB SATA,82.99,68.59,82.99,0,94.3
SSD Crucial MX500 M.2 2280 1TB,137,113.22,137,0,88.6
Sapphire Nitro+ Radeon RX 5500 XT 8GB GDDR6,249.9,206.53,249.9,0,94.7
Asus GeForce RTX 2060 Dual OC EVO Edition 6GB GDDR6,387.9,320.58,387.9,0,98.9
Asus GeForce GTX 1650 Dual 4GB OC GDDR5,154.9,128.02,179.89,14,92.0
Gigabyte GeForce GTX 1650 SUPER Windforce OC 4GB GDDR6,187.9,155.29,187.9,0,89.1
Asus GeForce GTX 1660 SUPER OC Dual 6GB GDDR6,274.9,227.19,274.9,0,96.2
