Name,Rating,Date
MGigabyte Z390 Gaming X,91.7,2020-04-06
Gigabyte B450 Aorus Elite,92.0,2020-04-06
MSI B450M Mortar Max,94.9,2020-04-06
Asus ROG STRIX B450-F GAMING,90.8,2020-04-06
Gigabyte GA-A320M-S2H,82.7,2020-04-06
Gigabyte H310M S2H 2.0,89.2,2020-04-06
MSI B450M PRO-M2 MAX,91.7,2020-04-06
Asus Prime Z390-A,92.2,2020-04-06
MSI Mpg Z390 Gaming Pro Carbon,93.4,2020-04-06
Asus Prime H310M-E R2.0,86.4,2020-04-06
Gigabyte Z390 Aorus Pro,95.5,2020-04-06
Asus H110M-A/DP,100.0,2020-04-06
AsRock X570 Phantom Gaming 4,0.0,2020-04-06
Asus Prime X570-P,92.4,2020-04-06
Gigabyte B365M-D3H,89.5,2020-04-06
MSI Mpg Z390 Gaming Edge AC,95.0,2020-04-06
Asus Rog Strix Z390-E Gaming,94.2,2020-04-06
Asus ROG STRIX B365-G GAMING,96.9,2020-04-06
Asus TUF Gaming X570-Plus,89.7,2020-04-06
MSI MPG X570 Gaming Pro Carbon WIFI,94.4,2020-04-06
MSI A320M-A PRO M2,93.3,2020-04-06
Asus PRIME B450-PLUS,91.5,2020-04-06
Asus TUF B450M-PLUS GAMING,91.0,2020-04-06
MSI MPG X570 Gaming Edge WI-Fi,94.8,2020-04-06
Intel Core i5-9400 2.9 GHz,93.8,2020-04-06
Intel Pentium Gold G5420 3.8 GHz,40.0,2020-04-06
AMD Athlon 3000G 3.5GHz,93.8,2020-04-06
AMD Ryzen 9 3950X 4.70 GHz,100.0,2020-04-06
AMD Ryzen 5 1400 3.2GHZ BOX,95.2,2020-04-06
Intel Core i3-9100 3.6 GHz,83.3,2020-04-06
AMD Athlon 200GE 3.2GHz Socket AM4,92.2,2020-04-06
Procesador Intel Pentium Gold G5400 3.7GHz Box,94.0,2020-04-06
Procesador Intel Celeron G4920 3.2Ghz BOX,91.1,2020-04-06
Intel Core i9-10900X 3.70 GHz,75.0,2020-04-06
AMD A Series A8-7680 3.5 GHz,92.9,2020-04-06
Intel Core i9-9900KF 3.6 GHz ,97.9,2020-04-06
AMD Ryzen Threadripper 1920X 3.5GHz,98.1,2020-04-06
Intel Core i7-8700K 3.7Ghz BOX,96.2,2020-04-06
AMD Ryzen 3 1200 3.4Ghz,91.0,2020-04-06
Intel Core i7-8700 3.2Ghz BOX,94.7,2020-04-06
Intel Celeron G4930 3.2 GHz,100.0,2020-04-06
AMD A6-9500 3.50 GHz Socket AM4,78.8,2020-04-06
Intel Core i9-9900 3.1 GHz,60.0,2020-04-06
Intel Core I7-7700 3.6GHz BOX,95.0,2020-04-06
AMD Athlon X4 950 3.5Ghz,88.3,2020-04-06
Intel Core i9-10940X 3.3 GHz,80.0,2020-04-06
AMD Ryzen Threadripper 3960X,100.0,2020-04-06
AMD A8-9600 3.10 GHz Socket AM4,91.5,2020-04-06
Samsung 860 QVO SSD 1TB SATA 3 V-NAND MLC,95.7,2020-04-06
SanDisk SSD Plus 240GB SATA III,93.2,2020-04-06
"Seagate Expansion 2TB 2.5"" USB 3.0 Negro",90.9,2020-04-06
WD Blue 3D Nand SSD M.2 1TB SATA3,93.3,2020-04-06
Corsair Force MP510 M.2 NVMe PCIe Gen3 x4 480GB SSD,90.0,2020-04-06
Seagate IronWolf NAS 4TB SATA3,92.2,2020-04-06
WD Blue SN550 SSD 500GB NVMe M.2 PCIe Gen 3,95.6,2020-04-06
"Seagate BarraCuda 2.5"" 1TB SATA3",93.1,2020-04-06
"Seagate Expansion 5TB 2.5"" USB 3.0 Negro",87.2,2020-04-06
WD NAS Red 4TB SATA3,92.3,2020-04-06
Sandisk Ultra 3D SSD 500GB SATA3,96.7,2020-04-06
"Maxtor M3 Portable 1TB USB 3.0 2.5""",92.2,2020-04-06
Maxtor Z1 SSD 960GB SATA3,96.9,2020-04-06
Maxtor Z1 SSD 480GB SATA3,91.0,2020-04-06
Toshiba OCZ TR200 SSD 480GB SATA3,94.7,2020-04-06
SSD Crucial MX500 M.2 2280 500GB,93.6,2020-04-06
Kingston A2000 M.2 250GB PCI Express 3.0 NVMe,94.2,2020-04-06
"WD Elements 2TB 2.5"" USB 3.0 Negro",93.0,2020-04-06
"Maxtor M3 Portable 2TB USB 3.0 2.5""",93.2,2020-04-06
"WD Blue 3TB 3.5"" SATA 3",92.3,2020-04-06
Kingston A2000 M.2 500GB PCI Express 3.0 NVMe,94.6,2020-04-06
SSD Crucial MX500 M.2 2280 1TB,91.1,2020-04-06
"WD Blue 2TB 3.5"" SATA 3",91.5,2020-04-06
"WD Elements 4TB 2.5"" USB 3.0 Negro",94.1,2020-04-06
Asus GeForce GTX 1660 SUPER OC Dual 6GB GDDR6,96.0,2020-04-06
MSI GeForce RTX 2070 VENTUS GP 8GB GDDR6,94.1,2020-04-06
MSI GeForce RTX 2060 Ventus XS OC 6GB GDDR6,91.4,2020-04-06
Asus Dual GeForce RTX 2060 SUPER EVO V2 OC Edition 8GB GDDR6,90.8,2020-04-06
MSI GeForce GTX 1660 SUPER Ventus XS OC 6GB GDDR6,97.1,2020-04-06
XFX AMD Radeon RX 570 RS 8GB XXX Edition 8GB GDDR5,88.0,2020-04-06
AsRock Phantom Gaming X Radeon RX580 OC 8GB GDDR5,100.0,2020-04-06
Asus GeForce GTX 1650 SUPER TUF Gaming OC 4GB GDDR6,94.3,2020-04-06
Zotac Gaming GeForce GTX 1650 AMP 4GB GDDR5,92.5,2020-04-06
Asus Dual GeForce RTX 2080 SUPER EVO V2 OC Edition 8GB GDDR6,95.0,2020-04-06
MSI GeForce GTX 1660 Ventus XS OC 6GB GDDR5,97.0,2020-04-06
MSI GeForce GT710 1GB DDR3 Low Profile,89.5,2020-04-06
PowerColor Red Devil Radeon RX 5700 XT 8GB GDDR6,86.3,2020-04-06
MSI GeForce GT710 2GB DDR3 Low Profile,87.5,2020-04-06
Asus GeForce GTX 1650 Dual 4GB OC GDDR5,91.8,2020-04-06
Zotac Gaming GeForce RTX 2070 Mini 8GB GDDR6,96.5,2020-04-06
MSI GeForce RTX 2060 Super Gaming X 8GB GDDR6,97.5,2020-04-06
Gigabyte GeForce GTX 1050 OC 2GB GDDR5,92.9,2020-04-06
Gigabyte GeForce RTX 2070 SUPER GAMING OC 3X WHITE 8GB GDDR6,100.0,2020-04-06
PNY GeForce GTX 1660 Ti XLR8 Gaming OC Dual Fan 6GB GDDR6,95.4,2020-04-06
Gigabyte GeForce RTX 2060 Super Gaming OC 3X 8GB GDDR6,91.3,2020-04-06
PowerColor Radeon RX 5600 XT 6GB GDDR6,97.5,2020-04-06
MSI Radeon RX 5700 XT Gaming X 8GB GDDR6,95.0,2020-04-06
Gigabyte GeForce GT 1030 2GB GDDR5 LP,91.6,2020-04-06
Corsair Vengeance LPX DDR4 2666 16GB 2x8GB CL16,96.2,2020-04-06
Corsair Vengeance LPX DDR4 3000 PC4-24000 16GB 2x8GB CL16,98.5,2020-04-06
Kingston HyperX Fury Black 8GB DDR4 3200Mhz PC-25600 (2x4GB) CL16,98.3,2020-04-06
Kingston ValueRAM DDR3 1600 PC3-12800 4GB CL11,91.1,2020-04-06
Kingston HyperX Fury Black 16GB DDR4 3200Mhz PC-25600 CL16,96.8,2020-04-06
G.Skill Trident Z Neo DDR4 3600 PC4-28800 32GB 2x16GB CL16,100.0,2020-04-06
G.Skill Ripjaws V Red DDR4 2400 PC4-19200 8GB 2x4GB CL15,94.6,2020-04-06
Thermaltake Toughram Z-One RGB DDR4 3200 2x8GB 16GB CL16,91.4,2020-04-06
G.Skill Trident Z Neo DDR4 3600 PC4-28800 16GB 2x8 GB CL16,95.1,2020-04-06
Kingston ValueRAM SO-DIMM DDR3L 1600 PC3-12800 8GB CL11,94.3,2020-04-06
Kingston ValueRAM SO-DIMM DDR3L 1600 PC3-12800 4GB CL11,93.8,2020-04-06
Kingston ValueRAM DDR4 2400 PC4-19200 4GB CL17,93.6,2020-04-06
Kingston ValueRAM SO-DIMM DDR3 1600 PC3-12800 8GB CL11,92.5,2020-04-06
Corsair Vengeance LPX DDR4 3200 PC4-25600 16GB 2x8GB CL16,93.7,2020-04-06
Corsair Value Select DDR4 2400 PC4-19200 8GB CL16,91.0,2020-04-06
G.Skill Ripjaws SO-DIMM DDR3L 1600 PC3-12800 8GB CL9,95.5,2020-04-06
Kingston HyperX Fury Blue DDR3 1600 PC3-12800 4GB CL10,94.3,2020-04-06
Kingston ValueRAM DDR3 1600 PC3 12800 8GB CL11,93.2,2020-04-06
Corsair Vengeance RGB Pro Optimizado AMD DDR4 3200 16GB 2x8GB CL16,0.0,2020-04-06
G.Skill Trident Z DDR4 3600 PC4-28800 16GB 2x8GB CL16,95.0,2020-04-06
Kingston HyperX Impact SO-DIMM DDR3L 1600 PC3-12800 8GB CL9,96.2,2020-04-06
G.Skill Ripjaws SO-DIMM DDR4 2400 PC4-19200 8GB CL16,95.7,2020-04-06
Kingston HyperX Fury Black 4GB DDR4 2666Mhz PC-21300 CL15,93.8,2020-04-06
G.Skill Aegis DDR4 2133 PC4-17000 4GB CL15,91.6,2020-04-06
"TooQ TQR-202B Lector de Tarjetas Interno 3.5"" + USB 2.0 + DNIe + SIM Negro",0.0,2020-04-06
Kingston FCR-MRG2 Lector USB de Tarjetas MicroSD/MicroSDHC/MicroSDXC,89.4,2020-04-06
Startech Lector de Tarjetas de Memoria USB 3.0/USB-C,0.0,2020-04-06
CoolBox CR650-BT Lector de Tarjetas Interno USB 2.0,0.0,2020-04-06
CoolBox COO-CR606 Lector de Tarjetas Interno USB 2.0,0.0,2020-04-06
SanDisk ImageMate Pro Multilector USB 3.0,0.0,2020-04-06
Cherry ST-1144 SmartTerminal Lector de Tarjetas Chip USB,100.0,2020-04-06
Woxter Lector DNI-e USB Rojo,0.0,2020-04-06
Woxter Lector DNI-e USB Negro,98.0,2020-04-06
Startech 35BAYCF2IDE Lector de Tarjetas Compact Flash a IDE para Bahía de 3.5 Pulgadas,100.0,2020-04-06
SanDisk MobileMate Lector de Tarjetas USB 3.0 Negro,0.0,2020-04-06
CoolBox CRE-050 Lector de Tarjetas USB 2.0 Negro,0.0,2020-04-06
SanDisk Extreme Pro CFast 2.0 Lector de Tarjetas USB 3.0 Negro,0.0,2020-04-06
SanDisk Extreme Pro SD UHS-II Lector de Tarjetas USB 3.0,0.0,2020-04-06
Unotec Mini Lector USB de Tarjetas MicroSD,77.0,2020-04-06
Sandisk MobileMate Duo Lector de Tarjeta USB 2.0 + Adaptador SD,0.0,2020-04-06
Tacens Anima ACRM3 Lector de Tarjetas 85 en 1,90.0,2020-04-06
Tacens Anima ACR2 Lector de Tarjetas + USB 3.0,81.1,2020-04-06
Lexar LRW025URBEU Lector de Tarjetas USB 3.0,0.0,2020-04-06
HyperDrive Pro Lector de Tarjetas USB-C Negro,0.0,2020-04-06
Lexar Professional Lector de Tarjetas Dual USB 3.0,0.0,2020-04-06
SanDisk SD UHS-I Lector de Tarjetas USB 3.0,0.0,2020-04-06
Satechi Lector de Tarjetas SD/MicroSD con USB 3.0/ USB Tipo C Plateado,100.0,2020-04-06
"3Go CR37 Lector de Tarjetas Interno 3.5"" USB 2.0",0.0,2020-04-06
Unotec Tarjeta de sonido 7.1 USB,79.4,2020-04-06
Asus Strix Raid Pro Interno 7.1 Canales PCI-E,0.0,2020-04-06
Sound Blaster X3 Tarjeta de Sonido Reacondicionado,0.0,2020-04-06
Asus Strix Raid DLX,0.0,2020-04-06
Creative SB X-Fi Surround 5.1 Pro v3 Tarjeta de Sonido Externa USB,0.0,2020-04-06
Asus Xonar U7 7.1 USB,85.4,2020-04-06
Nox Coolbay MX2 USB 3.0 Negro,86.6,2020-04-06
Nox Hummer TGM ARGB Cristal Templado USB 3.0,70.6,2020-04-06
Nfortec Lynx Cristal Templado USB 3.0 RGB Negra,88.3,2020-04-06
Tempest One USB 3.0 con Ventana Blanca,89.4,2020-04-06
Corsair Carbide SPEC-06 Cristal Templado RGB White,95.0,2020-04-06
Nfortec Antares USB 3.0 Cristal Templado RGB Negro,88.2,2020-04-06
Tacens Anima AC4500 USB 3.0 + Fuente de Alimentación 500W,86.2,2020-04-06
Owlotech Start Case USB 3.0 500W,82.9,2020-04-06
Aerocool RIFT RGB USB 3.0 con Ventana,89.4,2020-04-06
Nox LITE010 USB 3.0 + Fuente de Alimentación 500W,76.2,2020-04-06
Nfortec Antares USB 3.0 Cristal Templado RGB Blanca,89.5,2020-04-06
Nox Infinity Omega ARGB USB 3.0 con Ventana,78.6,2020-04-06
Corsair iCUE 220T RGB Cristal Templado USB 3.1 Negra,70.0,2020-04-06
NOX Hummer ZX USB 3.0,92.8,2020-04-06
Corsair Carbide SPEC-06 Cristal Templado RGB Negra,91.1,2020-04-06
Corsair 275R Cristal Templado USB 3.0 Blanca,96.7,2020-04-06
Thermaltake View 31 TG Cristal Templado USB 3.0,95.5,2020-04-06
Lian Li PC-O11 Dynamic Razer Edition Cristal Templado USB 3.1 RGB Negra,91.4,2020-04-06
Nox Hummer Zero Cristal Templado USB 3.0 Blanca,98.5,2020-04-06
Mars Gaming MCX ATX Cristal Templado USB 3.0 RGB Negra,82.7,2020-04-06
NOX Modus Blue Edition USB 3.0,86.7,2020-04-06
Tempest One USB 3.0 con Ventana Negra,89.2,2020-04-06
Corsair Crystal 570X RGB Cristal Templado USB 3.0 Roja,93.8,2020-04-06
MSI Cubi N 8GL-002BEU Intel Pentium Silver N5000,81.2,2020-04-06
Corsair Cooling Hydro Series H45,88.5,2020-04-06
Corsair Hydro H100x Kit de Refrigeración Líquida,92.8,2020-04-06
Nox H-FAN Hummer PWM 120mm,93.7,2020-04-06
Noctua NH-U12S,95.1,2020-04-06
Aerocool BARAF-S 3.5G Pasta Térmica,93.5,2020-04-06
Cooler Master MasterLiquid ML120L RGB,88.9,2020-04-06
Corsair Hydro Series H100i PRO Kit de Refrigeración Líquida RGB,92.6,2020-04-06
Noctua NH-D15,96.9,2020-04-06
Corsair H115i RGB PLATINUM Kit de Refrigeración Líquida,92.1,2020-04-06
Corsair Hydro Series H100i RGB PLATINUM SE Kit de Refrigeración Líquida Blanco,98.2,2020-04-06
Noctua NH-U9S,95.9,2020-04-06
Nox Hummer Thermal T1 Pasta Térmica de Alta Eficiencia 4g,96.0,2020-04-06
Nfortec Hydrus V2 120 Red Kit de Refrigeración Líquida ,90.6,2020-04-06
Cooler Master MasterLiquid ML240R RGB,89.4,2020-04-06
MSI Core Frozr S Ventilador CPU ,91.1,2020-04-06
Cooler Master Mastergel Maker Pasta Térmica,94.9,2020-04-06
Noctua NH-U12S chromax.black,100.0,2020-04-06
Noctua NH-D15 chromax.black,93.3,2020-04-06
Cooler Master Hyper 212 LED Rojo,91.7,2020-04-06
Cooler Master MA610P RGB,92.1,2020-04-06
