Asrock B450M Steel Legend,93.99,77.68,93.99,0,96.0
Gigabyte X570 Aorus Elite,219.91,181.74,219.91,0,87.4
Gigabyte H310M S2H 2.0,58.99,48.75,58.99,0,89.2
Gigabyte B450 Aorus Elite,103.9,85.87,103.9,0,92.0
Asus TUF B450-PLUS GAMING,99.99,82.64,99.99,0,93.0
Gigabyte B450 AORUS M,90.99,75.2,90.99,0,92.6
MSI Mpg Z390 Gaming Pro Carbon,204.9,169.34,204.9,0,93.9
MSI Mag Z390 Tomahawk,154.9,128.02,154.9,0,95.7
Asus Prime H310M-E R2.0,63.9,52.81,63.9,0,85.2
Asus Prime Z390-A,185.9,153.64,185.9,0,91.8
Asus ROG STRIX B450-F GAMING,132.9,109.83,132.9,0,90.4
Gigabyte GA-A320M-S2H,50.99,42.14,50.99,0,81.0
Asus H110M-A/DP,59.99,49.58,59.99,0,100.0
Asus Prime X570-P,189.9,156.94,189.9,0,91.6
Gigabyte B365M-D3H,83.99,69.41,83.99,0,89.5
MSI B450M PRO-M2 MAX,65.99,54.54,65.99,0,91.8
MSI A320M-A PRO M2,57.06,47.16,57.06,0,92.9
MSI MPG X570 Gaming Edge WI-Fi,229.9,190.0,229.9,0,94.8
MSI MPG X570 Gaming Pro Carbon WIFI,269.9,223.06,269.9,0,94.4
Asus Rog Strix Z390-E Gaming,244.9,202.4,244.9,0,93.9
MSI Mpg Z390 Gaming Edge AC,174.9,144.55,174.9,0,95.0
Asus ROG STRIX B365-G GAMING,114.9,94.96,114.9,0,97.8
Gigabyte Z390 Aorus Pro,189.9,156.94,200.9,6,95.4
Asus PRIME B360M-A,79.99,66.11,79.99,0,92.6
